First Name,Last Name,Title,Inventory ID,Year,Materials,Dimension: Dimension 1 - Height,Dimension: Dimension 1 - Width,Dimension: Dimension 1 - Depth,Dimension: Dimension 1 - Units,Dimension: Dimension 1 - Notes,Object Status,Location,Price: Price 1,Price: Price 1 - Notes,Price: Price 2,Price: Price 2 - Notes,Price: Price 3,Price: Price 3 - Notes,Cost 1 - Type,Cost 1 - Amount,Cost 1 - Currency,Cost 1 - Date,Cost 1 - Notes,Payable 1 - Amount,Payable 1 - Currency,Payable 1 - Date,Payable 1 - Notes,Payable 1 - Paid?,Insurance 1 - Amount,Insurance 1 - Currency,Insurance 1 - Date,Insurance 1 - Notes,Appraisal 1 - Amount,Appraisal 1 - Currency,Appraisal 1 - Date,Appraisal 1 - Notes,Additional Info
,,Low table by Martino Gamper,2527                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mirror by Martino Gamper,2528                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Two Chinese carpets,253                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chair by Martino Gamper,2531                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Two Chinese carpets,254                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Two stools and one low table by Martino Gamper,2544                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cabinet Photo-box 071, SUPER-MARKET collection, by Caturegli e Formica",2546                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cabinet Photo-box 041, SUPER-MARKET collection, by Caturegli e Formica",2547                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cabinet Photo-box 061, SUPER-MARKET collection, by Caturegli e Formica",2548                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cabinet Photo-box 051, SUPER-MARKET collection, by Caturegli and Formica",2550                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Small two tiered table by Jean Prouve and Jules Leleu.,2552                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?Wedding Diner? table by Rodrigo Almeida,2554                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet,256                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2568                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2575                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2587                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet,259                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mirror by Martino Gamper,2591                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Angular desk by Martino Gamper,2592                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wall lamp by Julian G?the,2593                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wall lamp by Julian G?the,2594                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2595                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2596                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2597                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2598                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mirror by Martino Gamper,2600                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Table lamp by Martino Gamper,2602                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mirror by Martino Gamper,2604                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2612                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2622                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carpet,263                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,264                      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pair of wall lamps by Gio Ponti,2640                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2649                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Totem bookshelf by Martino Gamper,2653-2                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2659                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Catalogue ""Chair, 100 Sedie, Martino Gamper""",2662                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bookcase by Bruno Mathsson,2663                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Six armchairs P38 by Osvaldo Borsani,2669                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cabinet Photo-box 042, SUPER-MARKET collection, by Caturegli and Formica",2675                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cabinet Photo-box 042, SUPER-MARKET collection, by Caturegli and Formica",2676                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27                       ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cabinet,2702                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2707                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Table by Marcel Wanders,2729                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Coffee table by Frank Lloyd Wright and Warren McArthur,2737                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2745                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wall lamp Alahram by Nanda Vigo,2749                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PTH-02 Paper Tea House by Shigeru Ban,2759                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2760                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Montefeltro bookcase by Michele de Lucchi,2764                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Ceiling lamp "" Dedicato allo stupore "" by Michele de Lucchi",2776                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"WHT vase, Blister collection by Andrea Branzi.",2777                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2779                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Double plexiglass vase by Andrea Branzi,2781                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Together desk by Martino Gamper,2783                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bookshelf together wall element by Martino Gamper,2784                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Floor lamp by Pietro Chiesa.,2787                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wall lamps by Charlotte Perriand,2813                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2813-2                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Four reversible wall lamps by Charlotte Perriand,2813B                    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wall lamps by Charlotte Perriand,2813R-1                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wall lamps by Charlotte Perriand,2813R-2                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Wardrobe by Gio Ponti,2818                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Console by Martino Gamper,2827                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Off-Cut low table by Martino Gamper,2828                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2829                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tangram set of low tables by Martino Gamper,2830                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2838-2                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2838-3                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2879                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2881                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2884                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Simbiosi sculpture vase by Andrea Branzi,2886                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2889                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2890                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2895                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Table lamp ?Bamb?? by Fernando and Humberto Campana,2896                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Cabinet ""Figarellino"" with burnished palladium leaf relief by Piotr Sierakowski.",2905                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,?Together? bookcase by Martino Gamper.,2933                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2934                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2934 BIS                 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Together bookcase by Martino Gamper.,2934BOXES                ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Sculpture-cake ""The Last Polar Bear"" by Amy Lowry",2936                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2937                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2939                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Sculpture-cake, ""The Domino Effect"", by Amy Lowry",2941                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ebb low table by Joseph Walsh,2944                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2945                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2947                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Witness flat collection desk with hanging lamp by Jurgen Bey,2955                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Witness flat collection Pix?lis?e armchair by Jurgen Bey,2956                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pair of cabinets Pix?lis?e of witness flat collection by Jurgen Bey,2957                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Six chairs model 691 by Ico Parisi.,2962                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Filosfera table lamp by Angelo Lelii,2963                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2964                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pair of floor lamps by Josef Frank,2965                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Trumeau by Martino Gamper,2995                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AM/AS floor lamp Franco Albini and Franca Helg and Antonio Piva,2996                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2998                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Three chairs mod. Lierna by Achille and Pier Giacomo Castiglioni,3001                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3001-1                   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Somerset House box cupboard with chair by Martino Gamper,3024                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Somerset House/Box drawers 01 cabinet by Martino Gamper,3025                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Somerset House/Swivel chair by Martino Gamper,3026                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
